Minggu,kacamata oakley: (Indonesia),kacamata Calvin Klein: (Indonesia),kacamata Chanel: (Indonesia),kacamata Emporio Armani: (Indonesia),Kacamata Gucci: (Indonesia)
2019-10-27,88,0,0,0,35
2019-11-03,88,0,0,0,35
2019-11-10,64,0,0,0,36
2019-11-17,81,0,0,0,23
2019-11-24,100,0,0,0,27
2019-12-01,79,0,0,0,0
2019-12-08,74,0,0,0,23
2019-12-15,69,0,28,0,29
2019-12-22,82,0,0,0,46
2019-12-29,73,0,0,0,30
2020-01-05,64,0,0,0,31
2020-01-12,63,0,0,0,31
2020-01-19,70,0,25,0,0
2020-01-26,70,0,0,0,0
2020-02-02,78,0,0,0,31
2020-02-09,56,0,0,0,0
2020-02-16,61,0,0,0,0
2020-02-23,60,0,0,0,23
2020-03-01,51,0,0,0,25
2020-03-08,58,0,0,0,0
2020-03-15,64,0,0,0,0
2020-03-22,34,0,0,0,0
2020-03-29,24,0,0,0,0
2020-04-05,26,0,21,0,0
2020-04-12,64,0,0,0,27
2020-04-19,48,0,0,0,0
2020-04-26,74,0,0,0,0
2020-05-03,69,0,0,0,0
2020-05-10,59,0,0,0,21
2020-05-17,75,0,0,0,0
2020-05-24,54,0,0,0,0
2020-05-31,73,0,0,0,24
2020-06-07,70,0,0,0,21
2020-06-14,71,0,0,0,0
2020-06-21,98,0,0,0,0
2020-06-28,95,0,0,0,28
2020-07-05,80,0,27,0,28
2020-07-12,69,0,0,0,0
2020-07-19,63,0,0,0,0
2020-07-26,60,0,0,0,33
2020-08-02,56,0,0,0,22
2020-08-09,75,0,0,0,0
2020-08-16,74,0,0,0,26
2020-08-23,55,0,0,0,19
2020-08-30,72,0,0,0,0
2020-09-06,62,0,0,0,28
2020-09-13,63,0,0,0,22
2020-09-20,74,0,0,0,0
2020-09-27,71,0,0,0,18
2020-10-04,58,0,0,0,0
2020-10-11,35,0,0,0,22
2020-10-18,44,0,0,0,20
2020-10-25,75,0,0,0,0
2020-11-01,55,0,0,0,28
2020-11-08,60,0,0,0,0
2020-11-15,68,0,0,0,0
2020-11-22,35,0,0,0,27
2020-11-29,52,0,0,0,37
2020-12-06,43,0,0,0,28
2020-12-13,41,0,0,0,34
2020-12-20,42,0,0,0,0
2020-12-27,61,0,0,0,41
2021-01-03,49,0,0,0,0
2021-01-10,42,0,0,0,0
2021-01-17,46,0,0,0,0
2021-01-24,52,0,0,0,0
2021-01-31,50,0,0,0,0
2021-02-07,53,0,0,0,21
2021-02-14,48,0,0,0,0
2021-02-21,33,0,0,0,26
2021-02-28,40,0,0,0,21
2021-03-07,46,0,0,0,0
2021-03-14,30,0,0,0,0
2021-03-21,34,0,0,0,31
2021-03-28,48,0,0,0,0
2021-04-04,28,0,0,0,0
2021-04-11,33,0,0,0,0
2021-04-18,27,0,0,0,24
2021-04-25,44,0,0,0,0
2021-05-02,37,0,29,0,23
2021-05-09,47,0,0,0,0
2021-05-16,37,0,0,0,0
2021-05-23,45,0,0,0,0
2021-05-30,50,0,0,0,0
2021-06-06,57,0,0,0,26
2021-06-13,41,0,0,0,0
2021-06-20,37,0,0,0,30
2021-06-27,24,0,0,0,0
2021-07-04,39,0,0,0,0
2021-07-11,27,0,0,0,0
2021-07-18,37,0,0,0,0
2021-07-25,27,0,0,0,22
2021-08-01,29,0,0,0,0
2021-08-08,35,0,0,0,23
2021-08-15,31,0,0,0,0
2021-08-22,36,0,0,0,0
2021-08-29,27,0,0,0,0
2021-09-05,35,0,0,0,0
2021-09-12,44,0,0,0,0
2021-09-19,31,0,0,0,0
2021-09-26,40,0,0,0,0
2021-10-03,0,0,0,0,25
2021-10-10,30,0,0,0,0
2021-10-17,0,0,0,0,0
2021-10-24,22,0,0,0,0
2021-10-31,35,0,0,0,0
2021-11-07,35,0,0,0,0
2021-11-14,40,0,0,0,0
2021-11-21,37,0,0,0,0
2021-11-28,37,0,0,0,20
2021-12-05,28,0,0,0,0
2021-12-12,34,0,0,0,0
2021-12-19,32,0,0,0,24
2021-12-26,0,0,0,0,0
2022-01-02,47,0,0,0,0
2022-01-09,24,0,0,0,0
2022-01-16,24,0,0,0,20
